# Tue Oct 28 14:34:01 EDT 2008
# c0.cs.unh.edu 2.6.26.3-29.fc9.x86_64 x86_64 GNU/Linux
# Board: grid/jordan_unit_four-way_1200x2000_2
# Average over 5 runs
# time (sec)      threads         weight          nblocks/thread 
  4.3940          7               1.20            9              
  2.2360          7               1.30            1              
  2.1760          7               1.30            2              
  2.2340          7               1.30            3              
  2.4440          7               1.30            4              
  2.8960          7               1.30            5              
  3.2560          7               1.30            6              
  3.7020          7               1.30            7              
  4.0940          7               1.30            8              
  4.2940          7               1.30            9              
  2.3420          7               1.40            1              
  2.2280          7               1.40            2              
  2.2260          7               1.40            3              
  2.4420          7               1.40            4              
  2.8800          7               1.40            5              
  3.2740          7               1.40            6              
  3.7400          7               1.40            7              
  4.1420          7               1.40            8              
  4.4320          7               1.40            9              
  2.4700          7               1.50            1              
  2.2960          7               1.50            2              
  2.2640          7               1.50            3              
  2.4560          7               1.50            4              
  2.9240          7               1.50            5              
  3.3020          7               1.50            6              
  3.8040          7               1.50            7              
  4.2060          7               1.50            8              
  4.5220          7               1.50            9              
  2.2640          8               1.10            1              
  2.2120          8               1.10            2              
  2.5200          8               1.10            3              
  2.8120          8               1.10            4              
  3.1500          8               1.10            5              
  3.5460          8               1.10            6              
  3.8300          8               1.10            7              
  4.0760          8               1.10            8              
  4.4180          8               1.10            9              
  2.4560          8               1.20            1              
  2.2080          8               1.20            2              
  2.5220          8               1.20            3              
  2.8040          8               1.20            4              
  3.1920          8               1.20            5              
  3.6320          8               1.20            6              
  4.0720          8               1.20            7              
  4.5100          8               1.20            8              
  4.6120          8               1.20            9              
  2.4680          8               1.30            1              
  2.3380          8               1.30            2              
  2.5860          8               1.30            3              
  2.8740          8               1.30            4              
  3.1920          8               1.30            5              
  3.6060          8               1.30            6              
  4.0040          8               1.30            7              
  4.4480          8               1.30            8              
  4.8440          8               1.30            9              
  2.5420          8               1.40            1              
  2.2280          8               1.40            2              
  2.5240          8               1.40            3              
  2.8200          8               1.40            4              
  3.2220          8               1.40            5              
  3.6600          8               1.40            6              
  4.0300          8               1.40            7              
  4.3360          8               1.40            8              
  4.7540          8               1.40            9              
  2.7140          8               1.50            1              
  2.2260          8               1.50            2              
  2.5280          8               1.50            3              
  2.8500          8               1.50            4              
  3.2620          8               1.50            5              
  3.6960          8               1.50            6              
  4.1560          8               1.50            7              
  4.5340          8               1.50            8              
  5.0900          8               1.50            9              
